,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
165,1547988180000,0.008743,0.008755,0.008743,0.008753,155.88,1547988239999,1.36388174,26,137.58,1.20382021,0
166,1547988240000,0.008753,0.008756,0.008751,0.008751,108.04,1547988299999,0.9456774,20,98.02,0.85798776,0
167,1547988300000,0.008743,0.008756,0.00874,0.008755,76.76,1547988359999,0.67163317,12,48.68,0.42588343,0
168,1547988360000,0.008754,0.00876,0.008744,0.00876,324.12,1547988419999,2.83816784,47,238.77,2.09112337,0
169,1547988420000,0.008763,0.008772,0.008761,0.008772,92.95,1547988479999,0.81475348,21,82.8,0.725818,0
170,1547988480000,0.008773,0.008773,0.00876,0.008761,58.3,1547988539999,0.51107633,39,43.22,0.37891369,0
171,1547988540000,0.008761,0.008764,0.008753,0.008764,49.08,1547988599999,0.42992286,9,19.29,0.16896502,0
172,1547988600000,0.008765,0.008774,0.008763,0.008774,82.28,1547988659999,0.72147607,16,75.3,0.66028143,0
173,1547988660000,0.008775,0.008775,0.008754,0.008772,125.11,1547988719999,1.09754425,26,97.64,0.85658757,0
174,1547988720000,0.008769,0.008769,0.008761,0.008765,236.39,1547988779999,2.07195198,20,208.51,1.8276153,0
175,1547988780000,0.00877,0.008773,0.008762,0.00877,48.96,1547988839999,0.42922638,12,42.05,0.36865189,0
176,1547988840000,0.008762,0.008777,0.008762,0.00877,63.98,1547988899999,0.56116337,26,37.27,0.32694235,0
177,1547988900000,0.008774,0.00878,0.008763,0.008774,401.85,1547988959999,3.52546588,64,381.3,3.34525911,0
178,1547988960000,0.008777,0.008795,0.008775,0.008784,165.82,1547989019999,1.45712678,33,115.02,1.01072151,0
179,1547989020000,0.008782,0.008787,0.008769,0.008781,68.09,1547989079999,0.59743567,27,27.16,0.23835873,0
180,1547989080000,0.008775,0.008789,0.008775,0.008785,37.11,1547989139999,0.32596515,15,19.24,0.16905221,0
181,1547989140000,0.008785,0.008785,0.008768,0.008772,53.09,1547989199999,0.46619214,31,46.5,0.40837089,0
182,1547989200000,0.008783,0.008791,0.008768,0.00877,60.92,1547989259999,0.53460554,15,20.8,0.18255697,0
183,1547989260000,0.008775,0.008776,0.00875,0.008756,125.85,1547989319999,1.10358717,30,74.22,0.65096829,0
184,1547989320000,0.008763,0.00877,0.008759,0.008769,79.87,1547989379999,0.70011778,28,43.84,0.38435994,0
185,1547989380000,0.008771,0.008776,0.008631,0.008721,3189.31,1547989439999,27.76642046,399,805.42,7.03439926,0
186,1547989440000,0.008726,0.008737,0.008724,0.008733,1191.66,1547989499999,10.39953337,70,1047.02,9.13718707,0
187,1547989500000,0.008732,0.008732,0.008714,0.008722,246.83,1547989559999,2.15334939,30,53.58,0.46756842,0
188,1547989560000,0.008724,0.008735,0.00872,0.00872,246.14,1547989619999,2.1473507,68,232.05,2.02440288,0
189,1547989620000,0.008721,0.008725,0.008719,0.008721,67.04,1547989679999,0.58470706,21,15.89,0.13862256,0
190,1547989680000,0.008717,0.008729,0.008714,0.008714,180.57,1547989739999,1.57486932,29,142.29,1.24104425,0
191,1547989740000,0.00872,0.008733,0.00872,0.008729,115.29,1547989799999,1.00616385,15,96.24,0.83990819,0
192,1547989800000,0.008733,0.008749,0.008732,0.008747,245.21,1547989859999,2.14305035,37,225.9,1.97439228,0
193,1547989860000,0.008747,0.008757,0.008746,0.008753,196.38,1547989919999,1.71842354,31,173.08,1.51457799,0
194,1547989920000,0.008746,0.008756,0.008746,0.008747,47.24,1547989979999,0.41344521,8,34.6,0.30287789,0
195,1547989980000,0.008754,0.00877,0.008745,0.008745,157.81,1547990039999,1.38263126,40,124.51,1.09119699,0
196,1547990040000,0.008748,0.008764,0.008744,0.008747,58.7,1547990099999,0.51356249,15,34.6,0.30274814,0
197,1547990100000,0.008745,0.008755,0.008734,0.008737,85.1,1547990159999,0.74424339,26,37.08,0.32439826,0
198,1547990160000,0.008737,0.008748,0.008731,0.008739,79.13,1547990219999,0.69137497,18,31.81,0.27802952,0
199,1547990220000,0.008738,0.008744,0.008731,0.008734,105.15,1547990279999,0.91905193,17,86.53,0.75640195,0
200,1547990280000,0.008734,0.008741,0.008726,0.008737,95.39,1547990339999,0.83335164,30,56.76,0.49593339,0
201,1547990340000,0.008736,0.00874,0.008734,0.008735,55.1,1547990399999,0.48137683,18,35.23,0.30781157,0
202,1547990400000,0.008735,0.008738,0.008735,0.008735,53.72,1547990459999,0.46927368,10,26.48,0.23133228,0
203,1547990460000,0.008734,0.008736,0.008726,0.008726,45.37,1547990519999,0.39607152,10,1.56,0.01362432,0
204,1547990520000,0.008727,0.008728,0.00872,0.008723,69.67,1547990579999,0.60783909,10,40.18,0.35063176,0
205,1547990580000,0.008723,0.008725,0.008722,0.008723,56.64,1547990639999,0.49411669,12,25.15,0.21942719,0
206,1547990640000,0.008725,0.008727,0.008715,0.008722,118.06,1547990699999,1.02956798,19,35.6,0.31059338,0
207,1547990700000,0.00872,0.008725,0.008716,0.00872,105.9,1547990759999,0.92334338,20,21.81,0.19020726,0
208,1547990760000,0.008721,0.008725,0.008716,0.008717,142.93,1547990819999,1.24678507,31,72.38,0.63144709,0
209,1547990820000,0.008718,0.008722,0.008717,0.008722,141.29,1547990879999,1.23199122,17,91.95,0.80185146,0
210,1547990880000,0.008722,0.008722,0.008717,0.008718,95.87,1547990939999,0.83589126,16,37.51,0.32710524,0
211,1547990940000,0.008717,0.00872,0.008717,0.008719,19.52,1547990999999,0.1701939,5,0.22,0.00191818,0
212,1547991000000,0.008718,0.008718,0.00871,0.008716,263.86,1547991059999,2.29926862,29,126.15,1.09899012,0
213,1547991060000,0.008716,0.00872,0.008707,0.008716,181.9,1547991119999,1.58485878,22,80.27,0.69961818,0
214,1547991120000,0.008716,0.008716,0.008716,0.008716,21.99,1547991179999,0.19166484,3,21.99,0.19166484,0
215,1547991180000,0.008716,0.008717,0.008709,0.008715,138.02,1547991239999,1.20274572,29,104.63,0.91179485,0
216,1547991240000,0.008716,0.008722,0.008716,0.00872,64.55,1547991299999,0.56280516,23,56.81,0.49532748,0
217,1547991300000,0.008719,0.008723,0.00871,0.008723,251.95,1547991359999,2.1969478,52,215.69,1.88083545,0
218,1547991360000,0.008721,0.008721,0.008714,0.008715,91.6,1547991419999,0.79845567,25,86.85,0.75704146,0
219,1547991420000,0.008716,0.008724,0.008709,0.008711,107.61,1547991479999,0.937988,32,86.12,0.75079216,0
220,1547991480000,0.008717,0.008722,0.00871,0.008715,95.53,1547991539999,0.83272938,23,71.4,0.62242621,0
221,1547991540000,0.008715,0.008717,0.008715,0.008716,117.59,1547991599999,1.02490798,18,79.48,0.69271122,0
222,1547991600000,0.008716,0.008725,0.008715,0.008722,156.2,1547991659999,1.36168081,39,141.72,1.23539326,0
223,1547991660000,0.008721,0.008721,0.008715,0.008716,31.53,1547991719999,0.27490814,14,31.14,0.27150929,0
224,1547991720000,0.008716,0.008716,0.008716,0.008716,20.85,1547991779999,0.1817286,2,20.85,0.1817286,0
225,1547991780000,0.008716,0.008716,0.008715,0.008716,4.22,1547991839999,0.03677954,8,2.24,0.01952384,0
226,1547991840000,0.008715,0.008715,0.008709,0.008711,96.35,1547991899999,0.83960323,10,0.16,0.00139376,0
227,1547991900000,0.00871,0.008713,0.0087,0.008703,115.38,1547991959999,1.0046672,26,50.95,0.44350371,0
228,1547991960000,0.008706,0.008707,0.0087,0.008703,183.6,1547992019999,1.59770045,29,130.14,1.13252652,0
229,1547992020000,0.008703,0.008703,0.008694,0.008697,1656.29,1547992079999,14.40952961,49,123.59,1.07502797,0
230,1547992080000,0.008698,0.008698,0.00869,0.008698,194.29,1547992139999,1.68906831,51,184.32,1.60240374,0
231,1547992140000,0.008695,0.008705,0.008693,0.008695,322.9,1547992199999,2.80793717,44,268.72,2.33678998,0
232,1547992200000,0.0087,0.008705,0.008697,0.008699,161.24,1547992259999,1.4026644,17,121.54,1.05730764,0
233,1547992260000,0.008697,0.008702,0.008697,0.008701,298.7,1547992319999,2.59828027,24,278.3,2.42080333,0
234,1547992320000,0.008697,0.008716,0.008695,0.008707,337.89,1547992379999,2.94083388,62,178.57,1.55413064,0
235,1547992380000,0.008706,0.00871,0.008699,0.008706,461.49,1547992439999,4.0153233,19,419.82,3.65275392,0
236,1547992440000,0.008704,0.008704,0.008696,0.008697,110.98,1547992499999,0.96558615,23,27.26,0.23718418,0
237,1547992500000,0.008699,0.008699,0.008694,0.008694,179.72,1547992559999,1.5626857,17,111.36,0.96820471,0
238,1547992560000,0.008695,0.008702,0.008693,0.008702,137.58,1547992619999,1.19635392,14,122.69,1.06679245,0
239,1547992620000,0.008701,0.008703,0.0087,0.008703,32.24,1547992679999,0.28050051,6,25.61,0.22281288,0
240,1547992680000,0.008697,0.008699,0.008694,0.008698,24.3,1547992739999,0.21132367,11,14.4,0.12524107,0
241,1547992740000,0.008699,0.0087,0.008697,0.0087,80.84,1547992799999,0.7032362,29,65.32,0.5682222,0
242,1547992800000,0.008693,0.008698,0.008693,0.008696,27.49,1547992859999,0.23901212,10,16.39,0.14251982,0
243,1547992860000,0.008697,0.008702,0.008697,0.008697,43.13,1547992919999,0.37513846,7,34.15,0.29703699,0
244,1547992920000,0.008697,0.00871,0.008697,0.008708,120.49,1547992979999,1.04844528,23,95.73,0.8329091,0
245,1547992980000,0.008706,0.008708,0.0087,0.008708,69.74,1547993039999,0.60719991,15,54.67,0.47598614,0
246,1547993040000,0.008705,0.008707,0.008698,0.008702,162.01,1547993099999,1.41029492,15,128.82,1.1213509,0
247,1547993100000,0.008698,0.0087,0.00869,0.008691,95.16,1547993159999,0.82722074,17,21.47,0.1867247,0
248,1547993160000,0.008699,0.008699,0.008691,0.008691,36.01,1547993219999,0.31306162,8,15.78,0.13723322,0
249,1547993220000,0.008696,0.0087,0.008693,0.008697,48.47,1547993279999,0.42153839,6,6.22,0.05409534,0
250,1547993280000,0.008697,0.0087,0.008689,0.008697,60.88,1547993339999,0.52934858,17,35.38,0.30761057,0
251,1547993340000,0.008697,0.0087,0.00869,0.008695,101.56,1547993399999,0.88318425,21,71.18,0.61907254,0
252,1547993400000,0.008695,0.008704,0.008693,0.0087,155.38,1547993459999,1.35139179,25,125.57,1.09213727,0
253,1547993460000,0.0087,0.008707,0.008689,0.008694,75.45,1547993519999,0.65619224,19,55.39,0.48180182,0
254,1547993520000,0.008694,0.008699,0.008689,0.008689,65.13,1547993579999,0.5662127,9,9.38,0.08158824,0
255,1547993580000,0.008697,0.008697,0.008689,0.008697,115.26,1547993639999,1.00195526,19,3.9,0.03391641,0
256,1547993640000,0.008689,0.008699,0.008689,0.00869,89.04,1547993699999,0.77414094,24,44.1,0.38343308,0
257,1547993700000,0.008696,0.008698,0.008695,0.008696,22.29,1547993759999,0.19384539,7,21.3,0.18523734,0
258,1547993760000,0.008696,0.008703,0.008691,0.008703,48.18,1547993819999,0.41894696,10,34.54,0.30039455,0
259,1547993820000,0.008695,0.0087,0.00869,0.008691,43.94,1547993879999,0.38205521,8,27.36,0.23795288,0
260,1547993880000,0.008703,0.008703,0.008692,0.008695,68.57,1547993939999,0.59624855,20,47.11,0.40962973,0
261,1547993940000,0.008703,0.008703,0.008694,0.008695,43.23,1547993999999,0.37597335,8,32.62,0.28365936,0
262,1547994000000,0.008695,0.008701,0.008694,0.008694,38.93,1547994059999,0.3385442,12,0.3,0.0026103,0
263,1547994060000,0.00869,0.008698,0.00869,0.008695,32.42,1547994119999,0.28180351,18,7.66,0.06659683,0
264,1547994120000,0.008695,0.008704,0.008694,0.008703,20.91,1547994179999,0.1818805,9,20.22,0.17588152,0
265,1547994180000,0.008691,0.008696,0.008688,0.008695,78.03,1547994239999,0.67810538,18,20.98,0.18240288,0
266,1547994240000,0.008695,0.008698,0.00869,0.008696,42.33,1547994299999,0.36799579,18,28.35,0.24648765,0
267,1547994300000,0.008695,0.008696,0.008688,0.00869,32.75,1547994359999,0.28472759,13,27.57,0.23970196,0
268,1547994360000,0.008697,0.008704,0.00869,0.008704,39.75,1547994419999,0.34570446,13,36.39,0.31650348,0
269,1547994420000,0.008696,0.008696,0.008691,0.008694,15.27,1547994479999,0.13274522,7,15.27,0.13274522,0
270,1547994480000,0.008693,0.008698,0.008689,0.008689,103.81,1547994539999,0.90274431,12,95.88,0.83382468,0
271,1547994540000,0.00869,0.008691,0.008684,0.008684,225.22,1547994599999,1.95674701,22,183.7,1.59605635,0
272,1547994600000,0.008683,0.008702,0.008682,0.008685,54.29,1547994659999,0.47176004,18,37.06,0.32212384,0
273,1547994660000,0.008685,0.008697,0.008685,0.008693,35.14,1547994719999,0.30524044,12,18.1,0.15723236,0
274,1547994720000,0.00869,0.008692,0.008686,0.008692,30.69,1547994779999,0.26671265,9,13.07,0.11359756,0
275,1547994780000,0.008693,0.008693,0.00869,0.008692,19.73,1547994839999,0.17148557,11,19.53,0.16974757,0
276,1547994840000,0.008692,0.008693,0.008691,0.008691,14.78,1547994899999,0.12846202,10,14.78,0.12846202,0
277,1547994900000,0.008692,0.008701,0.008691,0.008696,89.99,1547994959999,0.78230465,19,89.99,0.78230465,0
278,1547994960000,0.008693,0.008697,0.008692,0.008697,90.3,1547995019999,0.78499018,14,82.8,0.71978398,0
279,1547995020000,0.008696,0.008699,0.008686,0.008699,86.1,1547995079999,0.74846754,14,20.49,0.17815305,0
280,1547995080000,0.008698,0.008708,0.008697,0.008707,143.38,1547995139999,1.2476651,36,99.91,0.86928189,0
281,1547995140000,0.008703,0.008711,0.008699,0.008711,65.53,1547995199999,0.5704297,12,58.55,0.50966515,0
282,1547995200000,0.00871,0.00871,0.008702,0.008705,62.63,1547995259999,0.54539328,19,13.48,0.11734989,0
283,1547995260000,0.00871,0.008717,0.008702,0.008702,125.8,1547995319999,1.0962392,18,112.41,0.97962431,0
284,1547995320000,0.008707,0.00871,0.008703,0.008704,69.57,1547995379999,0.60572477,23,41.15,0.35828855,0
285,1547995380000,0.008705,0.008705,0.008698,0.008698,49.03,1547995439999,0.42660964,21,25.16,0.218926,0
286,1547995440000,0.008698,0.008698,0.008689,0.008689,33.86,1547995499999,0.29436925,12,11.32,0.09843942,0
287,1547995500000,0.008688,0.008696,0.008688,0.008688,39.66,1547995559999,0.34472591,11,9.55,0.08303912,0
288,1547995560000,0.008692,0.008701,0.008689,0.008701,120.98,1547995619999,1.0519452,16,106.21,0.92357923,0
289,1547995620000,0.008695,0.0087,0.008695,0.008695,37.35,1547995679999,0.32484751,9,21.74,0.18910226,0
290,1547995680000,0.008698,0.008707,0.008694,0.008701,49.73,1547995739999,0.43261523,14,18.69,0.16262532,0
291,1547995740000,0.008701,0.008708,0.008696,0.008703,43.7,1547995799999,0.38040178,11,15.29,0.13309289,0
292,1547995800000,0.008701,0.00871,0.008697,0.008704,20.42,1547995859999,0.17776532,28,14.58,0.12692132,0
293,1547995860000,0.008709,0.008709,0.008705,0.008705,3.01,1547995919999,0.02620709,2,3.01,0.02620709,0
294,1547995920000,0.00871,0.00871,0.008702,0.008706,36.01,1547995979999,0.31344582,7,19.73,0.17177726,0
295,1547995980000,0.008704,0.008711,0.008703,0.008704,79.37,1547996039999,0.69114073,21,56.55,0.49240763,0
296,1547996040000,0.008709,0.008716,0.008695,0.008695,140.37,1547996099999,1.22219529,15,52.0,0.45305325,0
297,1547996100000,0.0087,0.008706,0.008695,0.008705,37.83,1547996159999,0.32923074,10,35.17,0.30608466,0
298,1547996160000,0.0087,0.008705,0.008699,0.008703,18.97,1547996219999,0.16506254,6,6.71,0.05840272,0
299,1547996220000,0.008702,0.008704,0.008699,0.008702,24.67,1547996279999,0.21466575,10,14.32,0.12461262,0
300,1547996280000,0.008701,0.00871,0.008701,0.008707,42.95,1547996339999,0.37383398,13,38.12,0.33180011,0
301,1547996340000,0.008709,0.008709,0.008705,0.008708,38.43,1547996399999,0.334583,11,11.01,0.09586297,0
302,1547996400000,0.008707,0.008726,0.008707,0.008723,198.79,1547996459999,1.73128556,31,131.87,1.1485515,0
303,1547996460000,0.00872,0.008723,0.00871,0.008722,45.86,1547996519999,0.39985908,21,40.45,0.3527062,0
304,1547996520000,0.008721,0.008722,0.008704,0.008708,43.9,1547996579999,0.38249263,15,25.28,0.22027539,0
305,1547996580000,0.008708,0.008709,0.008702,0.008702,48.35,1547996639999,0.42089999,15,17.44,0.15183661,0
306,1547996640000,0.008705,0.008708,0.008701,0.008701,20.97,1547996699999,0.18249729,11,7.18,0.06249661,0
307,1547996700000,0.0087,0.008703,0.0087,0.008702,19.49,1547996759999,0.16960961,13,11.95,0.10399715,0
308,1547996760000,0.008702,0.008703,0.008698,0.008698,28.27,1547996819999,0.24594565,12,7.7,0.06698924,0
309,1547996820000,0.008699,0.008702,0.008698,0.0087,47.08,1547996879999,0.40956979,15,37.02,0.32205311,0
310,1547996880000,0.008698,0.008699,0.008697,0.008698,19.03,1547996939999,0.16553128,5,8.93,0.07768207,0
311,1547996940000,0.0087,0.008703,0.008699,0.008703,37.28,1547996999999,0.32436079,9,27.05,0.23535245,0
312,1547997000000,0.008703,0.008711,0.008703,0.008711,7.98,1547997059999,0.06948187,4,7.98,0.06948187,0
313,1547997060000,0.00871,0.00871,0.008701,0.008707,24.78,1547997119999,0.21576595,10,19.58,0.17051361,0
314,1547997120000,0.008712,0.008716,0.008704,0.008706,23.11,1547997179999,0.20127489,15,18.74,0.16323323,0
315,1547997180000,0.008711,0.008712,0.008706,0.008711,23.61,1547997239999,0.20559315,10,7.31,0.06365718,0
316,1547997240000,0.00871,0.008711,0.008705,0.008707,13.35,1547997299999,0.11624571,11,7.35,0.06400849,0
317,1547997300000,0.008706,0.008721,0.008706,0.00871,41.73,1547997359999,0.36350479,27,21.64,0.18853719,0
318,1547997360000,0.008713,0.008717,0.008711,0.008716,112.83,1547997419999,0.98327335,12,98.46,0.85806884,0
319,1547997420000,0.008715,0.008721,0.008714,0.008721,15.97,1547997479999,0.13921017,8,14.57,0.12701019,0
320,1547997480000,0.008721,0.008721,0.008718,0.008721,30.31,1547997539999,0.26427843,11,8.5,0.07411932,0
321,1547997540000,0.008715,0.008721,0.008715,0.00872,13.71,1547997599999,0.11952823,6,7.05,0.06148103,0
322,1547997600000,0.00872,0.008726,0.00872,0.008723,45.25,1547997659999,0.3946491,19,39.46,0.34414756,0
323,1547997660000,0.008725,0.008726,0.008724,0.008724,10.43,1547997719999,0.09100361,11,5.02,0.04380398,0
324,1547997720000,0.008725,0.008725,0.008723,0.008723,38.14,1547997779999,0.33274517,13,24.91,0.21733019,0
325,1547997780000,0.008724,0.008729,0.008721,0.008724,59.06,1547997839999,0.5152125,23,19.73,0.17217402,0
326,1547997840000,0.008721,0.008722,0.00872,0.00872,78.41,1547997899999,0.68375601,11,5.02,0.04378444,0
327,1547997900000,0.00872,0.00872,0.008711,0.008713,20.34,1547997959999,0.17731055,11,6.8,0.05927353,0
328,1547997960000,0.008712,0.008717,0.008712,0.008714,17.52,1547998019999,0.15268266,11,6.56,0.05717887,0
329,1547998020000,0.008711,0.008717,0.008711,0.008713,17.86,1547998079999,0.15562923,10,5.31,0.04627898,0
330,1547998080000,0.008713,0.008719,0.008713,0.008718,28.15,1547998139999,0.24533724,15,4.59,0.04001473,0
331,1547998140000,0.008718,0.008719,0.008715,0.008715,22.49,1547998199999,0.19605798,10,20.4,0.17784363,0
